"id","label","rank","x","y"
50437,"Perge",90,30.856,36.967
50438,"Phaselis",80,30.547,36.520
50439,"Myra",80,29.995,36.244
50440,"Patara",80,29.322,36.262
50441,"Xanthos",80,29.331,36.360
50442,"Amaseia",80,35.820,40.648
50443,"Phiara",60,36.602,39.863
50444,"Augustonemetum",80,3.077,45.775
50445,"Augustoritum",80,1.248,45.833
50446,"Amastris",80,32.380,41.748
50447,"Attalea",80,30.700,36.894
50448,"Ebusus",80,1.424,38.910
50449,"Thabraca",80,8.750,36.953
50450,"Dianium",80,0.099,38.837
50451,"Olbia",80,9.501,40.929
50452,"Paphos",90,32.414,34.758
50453,"Salamis",90,33.911,35.177
50454,"Seleukeia Pieria",90,35.934,36.119
50455,"Syracusae",90,15.295,37.072
50456,"Portus Pachyni",70,15.137,36.681
50458,"Amisus",80,36.329,41.304
50459,"Divodurum",70,6.186,49.123
50460,"Condate",70,-1.690,48.129
50461,"Rotomagus",70,1.097,49.448
50462,"Iuliobona",70,0.537,49.525
50463,"Iuliobriga",80,-4.112,43.000
50464,"Portus Blendium",70,-4.043,43.432
50465,"Dessobriga",60,-4.328,42.411
50466,"Lamia",80,22.442,38.902
50467,"Naupactus",80,21.831,38.399
50468,"Confluentes",70,7.585,50.357
50469,"Lissus",80,19.663,41.785
50470,"Salmantica",80,-5.664,40.964
50471,"Segedunum",60,-1.529,54.990
50472,"Ulpiana",80,21.192,42.598
50473,"Maiensis Statio",60,11.169,46.659
50474,"Portus Magnus",70,-0.266,35.808
50476,"Colubraria",60,0.685,39.898
50482,"Igilgili",80,5.767,36.822
50483,"Metagonium Pr.",60,6.467,37.089
50485,"Galata",60,8.929,37.527
50486,"Caralis",80,9.110,39.215
50487,"Gallicum Fretum",60,9.159,41.387
50489,"Ilva",70,10.240,42.743
50491,"Thaenae",80,10.700,34.670
50492,"Meninge",80,10.920,33.680
50493,"Mercurii Pr.",60,11.013,37.062
50495,"Clipea",70,11.110,36.840
50498,"Caput Vada",60,11.160,35.230
50499,"Cossyra",70,11.940,36.830
50501,"Maritima",60,12.060,37.970
50502,"Atria",70,12.055,45.054
50504,"Brundulum",60,12.310,45.190
50505,"Lilybaeum",80,12.437,37.798
50507,"Selinus",90,12.825,37.583
50509,"Tiliaventum (river)",60,13.100,45.640
50512,"Melita",80,14.400,35.880
50513,"Camarina",80,14.450,36.850
50515,"Cephalae Pr.",60,15.210,32.370
50516,"Messana",90,15.557,38.192
50518,"Titius (river)",60,15.860,43.720
50520,"Salapia",70,16.020,41.390
50521,"Heracleum Pr.",60,16.060,37.930
50522,"Aufidus",0,41.36,16.21
50523,"Lokroi Epizephyrioi",80,16.260,38.240
50524,"Lacinium Pr.",60,17.200,39.030
50527,"Kallipolis-Anxa",70,17.990,40.060
50528,"Epidaurum",80,18.220,42.580
50529,"Sallentinum Pr.",60,18.360,39.800
50530,"Hydruntum",70,18.490,40.150
50531,"Automalax",70,19.130,30.250
50533,"Acroceraunia Pr.",60,19.320,40.440
50534,"Aulon",70,19.420,40.510
50535,"Apollonia (Epirus)",90,19.430,40.770
50537,"Corcyra",80,19.920,39.590
50538,"Euesperides",80,20.079,32.135
50539,"Leucas",80,20.710,38.830
50540,"Zacynthus",70,20.900,37.780
50541,"Ichthys Pr.",60,21.320,37.650
50542,"Alpheos (river)",60,21.450,37.610
50544,"Patrae",90,21.740,38.260
50545,"Apollonia-Sozousa",80,21.750,32.930
50546,"Akitas Pr.",60,21.880,36.720
50547,"Tainaron Pr.",80,22.480,36.390
50548,"Gythion",80,22.570,36.760
50549,"Corinthus",100,22.886,37.912
50550,"Isthmia",90,22.987,37.941
50551,"Chersonesos Akra",60,23.120,32.610
50552,"Malea Pr.",60,23.200,36.440
50553,"Petras Mikros",70,23.450,32.170
50554,"Kriou Metopon Pr.",60,23.580,35.270
50555,"Chalcis",90,23.590,38.460
50556,"Kimaros Pr.",60,23.600,35.630
50557,"Sounion Pr.",60,24.030,37.650
